18	0.5436242	0	0	0	0.5	0	0	0	0.5503876	0	0	0
19	0.6510067	0	0	0	0.5614973	0	0	0	0.6810036	0	0	0
20	0.6847458	0.6045198	0	0	0.5691319	0.5217391	0	0	0.7473868	0.6245614	0	0
21	0.666	0.6736597	0	0	0.575693	0.5851852	0	0	0.7457627	0.7142857	0	0
22	0.6845238	0.7152619	0.6521739	0	0.5934489	0.6047904	0.7317073	0	0.7811861	0.7830882	0.6367925	0
23	0.6790254	0.7463768	0.7674419	0	0.6052632	0.71	0.8222222	0	0.7742718	0.7803738	0.7480315	0
24	0.687631	0.7803738	0.8934426	0	0.6090909	0.6929824	0.8888889	0	0.7945545	0.88	0.8961039	0
25	0.6821542	0.8029557	0.9187675	0.7647059	0.626943	0.7444934	0.9294872	1	0.7690217	0.877095	0.9104478	0.7037037
26	0.6578109	0.7713626	0.8877006	0.7317073	0.6117455	0.7424242	0.8534032	0.7272727	0.7439024	0.8165681	0.9234973	0.7333333
27	0.6712185	0.7670588	0.8877285	0.9111111	0.6467662	0.722807	0.8552632	0.9375	0.7134671	0.8571429	0.9354839	0.8965517
28	0.6677182	0.7488372	0.8611825	0.8305085	0.626183	0.7090301	0.8135593	0.8571429	0.7507886	0.8396947	0.9346405	0.8064516
29	0.6599576	0.735363	0.8440861	0.8813559	0.6168831	0.7003257	0.7843137	0.9285714	0.7408537	0.825	0.974359	0.8387097
30	0.6705883	0.7300469	0.7908847	0.90625	0.6160131	0.6957929	0.7258687	0.9189189	0.7739938	0.8205128	0.9385965	0.8888889
31	0.6726862	0.7032419	0.7527778	0.8852459	0.6338515	0.6587838	0.6981132	0.8205128	0.7459283	0.8285714	0.9052632	1
32	0.6568627	0.6639785	0.7261146	0.8392857	0.6072727	0.6021127	0.6722689	0.7837838	0.7593985	0.8636364	0.8947368	0.9473684
33	0.6477733	0.6846591	0.7242525	0.8541667	0.6094674	0.6603774	0.6428571	0.78125	0.7307692	0.7586207	0.9610389	1
34	0.6911544	0.7027864	0.6988417	0.8085107	0.6644444	0.6489796	0.6331658	0.7941176	0.7465438	0.8717949	0.9166667	0.8461539
35	0.6907563	0.6818182	0.7136564	0.7435898	0.6594203	0.6318408	0.6497175	0.6	0.762431	0.8412699	0.94	1
36	0.706334	0.6893939	0.6842105	0.8139535	0.6889535	0.6699507	0.6287425	0.75	0.740113	0.7540984	0.9047619	1
37	0.697286	0.7164949	0.7282051	0.6538461	0.6687117	0.6388889	0.6623377	0.5714286	0.7581699	0.94	0.9756098	1
38	0.6988764	0.7276596	0.6972973	0.7941176	0.6754099	0.6931217	0.6423841	0.7586207	0.75	0.8695652	0.9411765	1
39	0.7272727	0.6927374	0.6927711	0.6451613	0.7090301	0.6268657	0.6315789	0.6	0.7631579	0.8888889	0.9393939	0.8333333
40	0.75	0.7162162	0.7258065	0.8108108	0.7251655	0.6766467	0.6622517	0.78125	0.8028169	0.8363636	1	1
41	0.75	0.7032967	0.7247191	0.6666667	0.7123288	0.6390978	0.6783217	0.6153846	0.8243243	0.877551	0.9142857	1
42	0.7272727	0.7238095	0.7030303	0.6857143	0.7103449	0.6948052	0.6209677	0.6428571	0.757764	0.8035714	0.9512195	0.8571429
43	0.7557411	0.7142857	0.7019231	0.6875	0.741433	0.6832298	0.6608187	0.5833333	0.7848101	0.8163266	0.8918919	1
44	0.7625571	0.7464789	0.7613636	0.6585366	0.7536232	0.73125	0.7172414	0.6	0.7777778	0.7924528	0.9677419	1
45	0.7462686	0.7218935	0.722973	0.8260869	0.7555556	0.7107438	0.6694915	0.7894737	0.7272727	0.75	0.9333333	1
