18	0.1028986	0.1190766	0.141334	0.141334	0.2009085	0.3822459	0.4643351	0.4643351	0.4643351	0.4643351	0.4643351	0.4643351	0.4643351	0.4643351	0.5198863	0.5198863	0.5198863	0.5198863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19	0.1487154	0.2368475	0.2637419	0.2637419	0.268976	0.4676907	0.5770454	0.6237934	0.6387339	0.6387339	0.6462274	0.6719241	0.6719241	0.6756768	0.6867093	0.6884151	0.6973048	0.6973048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	0.1233765	0.3100731	0.3553259	0.3655521	0.3730114	0.4545726	0.6160965	0.6656945	0.6719643	0.6727615	0.6871942	0.6953239	0.6974562	0.6974562	0.7077507	0.7130741	0.7151039	0.7201275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21	0.073163	0.2692693	0.3467088	0.3658652	0.375337	0.436781	0.5799496	0.616894	0.6213715	0.6236255	0.659295	0.6743273	0.6775764	0.6806887	0.6828167	0.694193	0.7008805	0.7016907	0.7029293	0.7032778	0.7101185	0.7110452	0.7164496	0.7174056	0.7175619	0.7189165	0.7189165	1	1	1	1	1	1	1	1	1	1	1	1	1
22	0.048533	0.2259837	0.3625516	0.3827408	0.3886087	0.4222075	0.5542818	0.6288042	0.6450068	0.6502205	0.6957878	0.7224778	0.7296283	0.7328961	0.7388341	0.7598737	0.775893	0.7866097	0.7891145	0.7899373	0.7997195	0.8129543	0.8192191	0.8198509	0.8201336	0.8222931	0.823635	1	1	1	1	1	1	1	1	1	1	1	1	1
23	0.019936	0.1446802	0.3186455	0.3520498	0.3608626	0.3903166	0.4641361	0.5717353	0.591786	0.5965052	0.6435356	0.7112053	0.729695	0.7332363	0.7418283	0.7632086	0.7851682	0.7916963	0.7950672	0.7956069	0.8158903	0.8440683	0.8520137	0.8561885	0.8561885	0.8612182	0.863389	0.8661205	0.8665891	0.8665891	0.9665891	0.9693314	0.9704432	0.9716834	0.9716834	0.9716834	0.9716834	0.9729064	0.9729064	1
24	0.0095616	0.0738547	0.2472613	0.3070413	0.3137845	0.3209903	0.3816045	0.495823	0.5363706	0.5433477	0.5801995	0.6755919	0.7196561	0.7305182	0.7367231	0.747191	0.7832764	0.7944777	0.7980078	0.7993711	0.8221096	0.8664638	0.883702	0.8873415	0.8883201	0.8934437	0.9059297	0.9110612	0.9119238	0.9119238	0.9719238	0.9766089	0.9775636	0.9781296	0.9785265	0.9785265	0.9804115	0.9820772	0.9821936	1
25	0.0045557	0.0454256	0.1981895	0.3048962	0.3164165	0.3190334	0.3568874	0.4656429	0.5228783	0.53084	0.5550187	0.6273856	0.6937529	0.7094746	0.7179481	0.7288007	0.755197	0.7797995	0.7896006	0.7937884	0.8079231	0.8800043	0.9047584	0.9098786	0.9118465	0.913878	0.9278362	0.9377235	0.9398987	0.9408839	0.9808839	0.9853715	0.9806014	0.9807949	0.9807949	0.9807949	0.9522342	0.9526838	0.9528005	1
26	0.0027137	0.03271	0.1417226	0.2733752	0.298538	0.3037838	0.3255934	0.4088313	0.490997	0.4995827	0.5112621	0.5744088	0.6596601	0.6908624	0.6971102	0.7033733	0.7263655	0.7639734	0.7749057	0.7774355	0.7860856	0.8453699	0.9081205	0.9193887	0.921508	0.9239585	0.9327511	0.9482056	0.9494503	0.9497408	0.9502808	0.9546084	0.964228	0.9690119	0.9693506	0.9693506	0.9810427	0.9836128	0.984269	1
27	0.0024578	0.0134222	0.0858203	0.2676962	0.293303	0.2945332	0.3073581	0.3615587	0.4640238	0.4750281	0.4845744	0.5189397	0.6098021	0.6513495	0.6632175	0.6662785	0.6819838	0.7271952	0.751072	0.7550484	0.7624695	0.7959683	0.8869373	0.9059915	0.9108235	0.912824	0.9246013	0.9523427	0.9574152	0.9583755	0.9583755	0.9602392	0.972851	0.9770957	0.9783458	0.9783458	0.980113	0.9843617	0.9888491	1
