0.1498	0.0536	0.0097	0.0123
0.586	0.3808	0.1679	0.0741
0.1688	0.2884	0.1898	0.2099
0.0773	0.2237	0.4647	0.2963
0.0181	0.0536	0.1679	0.4074
8.004662	7.930818	8.625	7.846154
22.92181	24.84081	26.71658	31.92
1.900807	1.818878	1.730435	1.419355
27805.59	35124.8	49582.47	0
23208.24	29047.19	38880.18	59023.86
21385.18	27017.54	38790.79	57638.63
0.6361794	0.6088253	0.5898761	0
0.6395687	0.6721877	0.7375328	0.6781609
0.6600567	0.7316397	0.7952381	0.8125
0.8249913	0.8301159	0.9050847	0.8932806
0.6405672	0.6790393	0.7683957	0.7521368
0.5835937	0.6064232	0.5984674	0.609375
0.4722016	0.568254	0.4870466	0.4807692
0.4604167	0.3631841	0.3461539	0.4666667
0.8001152	0.8045202	0.8800747	0.8711864
0.6415225	0.7706767	0.9020619	1
0.1389862	0.1151039	0.1006374	0.0987654
0.2419355	0.2279185	0.2234848	0.2631579
0.0854455	0.0822785	0.0394431	0.0304348
0.3462546	0.4637681	0.6818182	0.5862069
0.1987093	0.1655212	0.1604845	0.150289
0.1929556	0.1849866	0.1554333	0.1358025
0.0571938	0.0405911	0.0237726	0.0359281
0.1467412	0.1593626	0.1616162	0.1521739
0.0276194	0.013866	0.0084639	0.0022779
0.0855072	0.0918762	0.0988495	0.0882071
