18	.1475683	.333259	.370838	.3787372	.6198424	.7871322	.8201342	.8268454	.9606527	.9746286	.9774326	.9802385	.9905593	.9945285	.9945285	1	1	1	1	1
19	.0779584	.2355121	.2661119	.2785738	.5205173	.7619345	.809047	.8155841	.9324766	.9618641	.9743465	.9743465	.9897346	.9936184	.9965317	1	1	1	1	1
20	.04209	.2019596	.250596	.2548175	.4101122	.7127164	.7578856	.7639844	.8952166	.9440116	.9583138	.9594809	.9804486	.9926901	.9978758	1	1	1	1	1
21	.0171681	.1702207	.2236925	.2298443	.3116074	.6514079	.7206552	.7259142	.8653957	.9248699	.9467397	.9495935	.9769788	.995118	.9990841	1	1	1	1	1
22	.0064999	.1262875	.1951768	.2030306	.2406312	.5602814	.6719377	.6772321	.7975332	.8792503	.9045692	.9051971	.9567311	.9886369	.9974394	1	1	1	1	1
23	.0026443	.0882559	.1725218	.1830267	.1966914	.4878361	.6287617	.6382069	.7250908	.8378035	.8753867	.8773472	.9386136	.9878665	.9993876	1	1	1	1	1
24	.0028805	.0610398	.1549663	.1616095	.1662271	.4072545	.5914386	.6025578	.6557729	.7840162	.8337467	.8383403	.9088717	.9766204	.997158	1	1	1	1	1
25	.0013626	.0341788	.1412035	.1523537	.1550481	.3199424	.5614329	.5769165	.6051967	.751315	.8052115	.8108472	.8524406	.9672259	.9974107	1	1	1	1	1
26	.0009014	.0218412	.1333787	.1482554	.1486507	.2394349	.5278963	.5429482	.5573962	.6987423	.7847012	.7899727	.8069344	.9489641	.9938542	1	1	1	1	1
27	0	.014743	.1283742	.1470489	.1480986	.1932277	.5172533	.5451168	.5523471	.6751994	.782239	.7918034	.7976596	.9377336	.9936468	1	1	1	1	1
28	.0002771	.0091271	.1241217	.1465901	.1484142	.17733	.507578	.545294	.5516658	.6596882	.7966743	.8060117	.8099032	.9225483	.9943311	1	1	1	1	1
29	.0005828	.0062749	.11031	.1375531	.1385587	.1596718	.5067067	.5479837	.5509329	.619693	.7832993	.8019884	.8061396	.8878384	.9900666	1	1	1	1	1
30	.0001079	.0028396	.0984215	.1288572	.1291778	.1427537	.4661912	.5261343	.528911	.5631918	.7606492	.7854979	.7873633	.8460777	.9879108	1	1	1	1	1
31	.0002398	.003695	.0889373	.1337124	.1342274	.1443493	.4300236	.5079628	.5103642	.5383328	.7617028	.7848338	.7861364	.8169755	.9833211	1	1	1	1	1
32	.0001703	.0037883	.0740042	.1291432	.1293879	.1364362	.4067333	.498991	.499782	.5158859	.7587856	.7947541	.7951242	.8071793	.9821768	1	1	1	1	1
33	0	.0010785	.0659241	.125799	.125799	.1343835	.3641469	.4819394	.4824379	.4977522	.7294214	.7749852	.7754472	.786315	.9714466	1	1	1	1	1
34	.0009768	.0019585	.0562092	.1260245	.1260245	.130064	.3257382	.4782589	.4787551	.4875722	.7014195	.7635934	.7643183	.7719853	.9623136	1	1	1	1	1
